Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,2.974597105,2.626102692,2.795929298,3.641017173,3.331463825,8.665221058,12.3895221,12.59783435,18.08388766,7.812917595,8.647203031,6.160839161,7.194244604,8.678091655,5.321056354,2.85628892,2.956800178,2.437869407,4.29300795,4.385873464,4.150125883,3.915685822,3.627271447,4.058429612,3.358640636,3.919658751,3.452480267,3.981985225,5.603976902,5.531637187,5.660912331,6.077797589,5.933135842,5.153469787,3.898536326,3.714451075,3.55488608
Africa Eastern and Southern,AFE,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,33.9854421,35.92746654,34.39188799,31.6632239,32.16434271,30.55382748,30.08699629,32.0643815,31.61702651,29.48702517,30.88766845,30.3652172,32.25604722,31.24575031,33.8155938,30.14915286,25.80979827,27.12060708,26.46097826,26.6195268,29.39516925,25.37597937,22.26259464,22.36422819,21.11158958,17.89200387,16.97233041,16.43091615,15.40137814,16.64860538,16.77220056,16.2762586,18.41699434,18.71754704,17.35784466,19.04664435,18.28038251,18.4034236,17.52946024,17.25485388,15.70311423,16.51700674,20.33315898,17.4298003,17.68036581
Afghanistan,AFG,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.70286915,6.982691274,9.504462615,10.47376849,14.21066422,31.43112871,15.43236355,12.12980327,22.70596337,32.75844871,29.16785066,21.12096711,14.49051023,,
Africa Western and Central,AFW,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,46.76197959,55.10920227,61.17055286,63.95382343,51.05360592,55.31522722,57.97533385,57.9135822,65.90407293,38.24535815,30.08859397,39.28681208,18.73244456,19.84294857,24.95798218,24.68429454,27.08783041,26.99536451,29.36381726,22.35281075,25.83236409,18.63300488,19.17546967,19.30890037,18.56460563,15.61352448,16.78227678,22.29841943,54.89198795,54.77689447,48.41036356,43.18792555,41.46946256,47.46448898,42.66724348,42.16414723,37.75161243,35.52166661,41.22804259,39.07713721,24.60470672,26.29303304,34.08490253,42.71130296,47.21020942,
Angola,AGO,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.76160991,41.35264055,51.48196418,40.54932735,21.43142477,31.78633975,36.06185777,32.36610365,45.39111877,30.72297032,6.02738701,6.64691358,8.110199971,7.86263844,5.480866567,10.22435406,1.36094251,5.389432606,4.393099935,5.135481571,4.984111371,3.60095013,2.739316706,1.874851598,1.498059158,2.013874476,4.590600004,2.347389771,4.421110293,7.003773833,12.73268289,15.67908733,23.49655378
Albania,ALB,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,42.11009174,42.75,42.27272727,40.84615385,42.07792208,49.2,38.25,30.67264574,22.19594595,19.70149254,20,17.60869565,15.87301587,11.98087432,14.73282443,19.48881789,24.6742671,-381.3664596,39.90193074,5.575284091,3.997274586,3.082057322,3.461524455,9.571294967,8.99210222,10.05298762,10.0700568,7.608704532,8.112100073,10.15017113,9.855882236,11.53890503,11.55439293,11.29231477,7.852674558,7.929926782,7.754477865,8.397777197,8.55416011,7.278728549,8.239104959,10.19568084,10.67408631
Andorra,AND,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.762231097,1.456364898,1.234286357,
Arab World,ARB,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,47.53199269,56.64516129,52.49169435,55.85501859,56.41205326,55.90101523,46.86054197,53.38078292,57.07384403,55.47217011,48.39764552,50.31773541,50.95036959,48.46596357,51.06007067,54.55381785,39.59044369,30.1754313,28.42859838,27.9547005,25.97442639,26.21665341,24.96182154,24.3771121,24.91391368,21.42831475,23.54556841,22.23135927,23.18972607,20.56504568,18.49478582,17.29865449,15.38741148,14.66638774,15.65193015,15.01441724,16.40203589,18.62030353,18.61840295,17.91373397,15.27206003,12.61496221,12.79964278,13.1476742,13.48498262,18.39213001,15.67192825
